Data, Hora, Temperatura Interna, Temperatura Externa, Temperatura Referência
15-10-2020 , 14:04:23,37.09 , 32.42 , 39.00 
15-10-2020 , 14:04:25,37.09 , 32.42 , 39.00 
15-10-2020 , 14:04:27,37.58 , 32.42 , 39.00 
15-10-2020 , 14:04:29,38.06 , 32.42 , 39.00 
15-10-2020 , 14:04:31,38.06 , 32.42 , 39.00 
15-10-2020 , 14:04:33,38.06 , 32.43 , 39.00 
15-10-2020 , 14:04:35,38.06 , 32.43 , 39.00 
15-10-2020 , 14:04:37,38.55 , 32.43 , 39.00 
15-10-2020 , 14:04:39,38.55 , 32.44 , 39.00 
15-10-2020 , 14:04:41,38.55 , 32.45 , 39.00 
15-10-2020 , 14:04:43,39.04 , 32.45 , 39.00 
15-10-2020 , 14:04:45,39.04 , 32.44 , 39.00 
15-10-2020 , 14:04:47,39.04 , 32.44 , 39.00 
15-10-2020 , 14:04:49,39.04 , 32.44 , 39.00 
15-10-2020 , 14:04:51,39.53 , 32.44 , 39.00 
15-10-2020 , 14:04:53,39.04 , 32.43 , 39.00 
15-10-2020 , 14:04:55,39.04 , 32.43 , 41.00 
15-10-2020 , 14:04:57,39.04 , 32.43 , 41.00 
15-10-2020 , 14:04:59,39.04 , 32.43 , 41.00 
15-10-2020 , 14:05:01,39.53 , 32.43 , 41.00 
15-10-2020 , 14:05:03,39.53 , 32.43 , 41.00 
15-10-2020 , 14:05:05,39.53 , 32.42 , 41.00 
15-10-2020 , 14:05:07,39.53 , 32.42 , 41.00 
15-10-2020 , 14:05:09,40.02 , 32.41 , 41.00 
15-10-2020 , 14:05:11,39.53 , 32.41 , 41.00 
15-10-2020 , 14:05:13,40.02 , 32.41 , 41.00 
15-10-2020 , 14:05:15,40.50 , 32.41 , 41.00 
15-10-2020 , 14:05:17,40.50 , 32.41 , 41.00 
15-10-2020 , 14:05:19,40.99 , 32.40 , 41.00 
15-10-2020 , 14:05:21,40.99 , 32.40 , 41.00 
15-10-2020 , 14:05:23,41.48 , 32.39 , 41.00 
15-10-2020 , 14:05:25,41.48 , 32.40 , 41.00 
15-10-2020 , 14:05:27,41.48 , 32.40 , 41.00 
15-10-2020 , 14:05:29,41.48 , 32.40 , 41.00 
15-10-2020 , 14:05:31,41.00 , 32.40 , 20.00 
15-10-2020 , 14:05:33,41.48 , 32.40 , 20.00 
15-10-2020 , 14:05:35,41.48 , 32.40 , 20.00 
15-10-2020 , 14:05:37,41.48 , 32.40 , 20.00 
15-10-2020 , 14:05:39,40.99 , 32.40 , 20.00 
15-10-2020 , 14:05:41,40.50 , 32.40 , 20.00 
15-10-2020 , 14:06:34,0.00 , -0.00 , 40.00 
15-10-2020 , 14:06:36,41.48 , 32.35 , 40.00 
15-10-2020 , 14:06:38,41.48 , 32.36 , 40.00 
15-10-2020 , 14:06:40,40.50 , 32.37 , 40.00 
15-10-2020 , 14:06:42,40.02 , 32.37 , 40.00 
15-10-2020 , 14:06:44,40.50 , 32.38 , 40.00 
15-10-2020 , 14:06:46,40.02 , 32.39 , 40.00 
15-10-2020 , 14:06:48,39.53 , 32.39 , 40.00 
15-10-2020 , 14:06:50,39.53 , 32.40 , 40.00 
15-10-2020 , 14:06:52,39.53 , 32.40 , 40.00 
15-10-2020 , 14:06:54,39.53 , 32.41 , 40.00 
